Date,Year,Month,Mdate,Weekday_End,Day,Hour,Town_Hall-West,Collins Place-South,Australia on Collins,Bourke Street Mall-South,Bourke Street Mall-North,Melbourne Central,Flagstaff Station,State Library,Collins Place-North,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Birrarung Marr,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge
1/3/2012,2012,3,1,10,5,0,892,76,68,157,99,300,26,116,26,7,4,10,2,7,13,159,197,75
1/3/2012,2012,3,1,10,5,1,160,18,21,48,36,153,9,28,5,5,2,0,0,2,3,52,81,19
1/3/2012,2012,3,1,10,5,2,71,13,26,14,22,57,7,21,1,1,3,0,3,3,2,18,31,15
1/3/2012,2012,3,1,10,5,3,42,11,8,12,17,30,2,12,4,0,4,2,1,0,0,21,19,4
1/3/2012,2012,3,1,10,5,4,52,4,10,49,11,41,0,16,5,4,2,6,5,2,2,47,46,33
1/3/2012,2012,3,1,10,5,5,125,66,19,17,16,41,106,24,28,37,25,9,10,23,16,98,117,63
1/3/2012,2012,3,1,10,5,6,260,255,74,124,51,100,670,78,222,436,114,22,6,94,33,351,461,170
1/3/2012,2012,3,1,10,5,7,827,836,354,321,180,285,2569,284,864,1167,371,64,14,234,158,825,1353,463
1/3/2012,2012,3,1,10,5,8,2041,2434,903,877,585,764,6550,979,2105,2486,739,92,23,457,248,1989,3555,1267
1/3/2012,2012,3,1,10,5,9,1961,1437,1008,847,681,807,3095,865,1184,1238,490,100,31,202,127,1157,1730,536
1/3/2012,2012,3,1,10,5,10,2165,625,1069,1213,954,1093,1044,743,598,505,254,95,18,75,67,930,931,258
1/3/2012,2012,3,1,10,5,11,2805,531,1330,1824,1413,1526,776,1089,445,354,199,109,34,95,68,859,1021,363
1/3/2012,2012,3,1,10,5,12,3886,1405,2424,3063,2555,2727,1020,1992,617,941,508,156,69,319,157,1242,1808,431
1/3/2012,2012,3,1,10,5,13,4440,1354,2584,3827,3043,2932,1202,2213,746,846,409,198,73,306,259,1303,1976,469
1/3/2012,2012,3,1,10,5,14,3838,786,1868,2851,2398,2457,923,1840,479,515,254,120,86,115,173,1131,1605,366
1/3/2012,2012,3,1,10,5,15,3775,682,1570,2762,2176,2597,1110,1974,634,710,217,174,47,143,111,1215,1742,452
1/3/2012,2012,3,1,10,5,16,3641,773,1441,2808,2155,2743,2205,2184,1094,1456,414,173,66,198,194,1489,2174,550
1/3/2012,2012,3,1,10,5,17,4161,1412,1458,2803,2370,2888,3835,2412,1578,2521,734,240,81,451,386,2363,4003,1092
1/3/2012,2012,3,1,10,5,18,3492,974,897,2054,2062,2636,1753,1732,800,1036,441,193,61,279,497,1862,2394,668
1/3/2012,2012,3,1,10,5,19,2556,476,543,1199,1420,2113,620,1333,316,302,230,144,53,132,259,1186,1277,421
1/3/2012,2012,3,1,10,5,20,1796,271,306,880,888,1800,312,1002,151,152,160,89,38,64,100,669,937,295
1/3/2012,2012,3,1,10,5,21,1351,224,175,500,449,1541,173,636,97,83,125,80,37,39,37,725,769,233
1/3/2012,2012,3,1,10,5,22,1000,181,178,312,252,910,82,447,97,72,56,84,40,24,43,821,563,180
1/3/2012,2012,3,1,10,5,23,929,143,111,233,145,629,71,263,58,40,48,35,17,11,400,357,470,148
2/3/2012,2012,3,2,10,6,0,465,71,56,160,91,349,33,175,29,9,25,8,5,5,10,163,232,76
2/3/2012,2012,3,2,10,6,1,140,33,21,47,51,157,13,85,11,7,10,4,6,3,6,73,107,29
2/3/2012,2012,3,2,10,6,2,102,24,27,35,29,107,5,55,12,2,2,5,2,2,4,56,50,11
2/3/2012,2012,3,2,10,6,3,78,11,16,35,12,58,7,23,8,6,3,2,4,1,24,31,38,15
2/3/2012,2012,3,2,10,6,4,50,18,15,30,12,26,6,18,2,11,4,8,0,1,3,45,57,42
2/3/2012,2012,3,2,10,6,5,110,57,16,13,8,46,84,26,23,44,19,14,10,20,16,67,134,47
2/3/2012,2012,3,2,10,6,6,240,206,78,106,53,131,483,77,159,450,135,42,16,101,112,296,483,142
2/3/2012,2012,3,2,10,6,7,733,711,352,307,216,314,1876,269,723,1202,359,129,48,259,254,867,1472,420
2/3/2012,2012,3,2,10,6,8,1833,1857,871,855,684,812,5306,812,1744,2533,878,206,57,437,390,1609,3652,967
2/3/2012,2012,3,2,10,6,9,1992,1187,909,1135,835,980,2660,836,1009,1191,547,118,32,189,202,1153,1729,420
2/3/2012,2012,3,2,10,6,10,2566,817,1211,1569,1274,1235,1075,904,586,396,249,165,34,95,158,957,1081,338
2/3/2012,2012,3,2,10,6,11,2523,778,1561,2323,1703,1731,846,1274,584,377,250,149,74,144,263,1158,1434,380
2/3/2012,2012,3,2,10,6,12,3692,1556,2485,3654,3172,2869,1189,2215,731,983,522,380,181,530,400,1706,2258,691
2/3/2012,2012,3,2,10,6,13,4086,1543,2725,4626,3893,3002,1376,2384,800,1082,503,374,166,450,830,1747,2308,611
2/3/2012,2012,3,2,10,6,14,4206,903,2007,3272,2853,2822,908,1880,555,549,310,246,114,189,496,1548,1930,421
2/3/2012,2012,3,2,10,6,15,3980,710,1708,3247,2686,2532,1100,1854,661,697,272,232,101,164,396,1559,1819,468
2/3/2012,2012,3,2,10,6,16,4186,911,1575,3127,2454,2592,2012,2215,1051,1263,440,211,104,271,416,1856,2518,631
2/3/2012,2012,3,2,10,6,17,4338,1253,1736,3418,3135,3047,3231,2381,1436,2052,719,269,125,545,717,2578,3842,1088
2/3/2012,2012,3,2,10,6,18,3985,790,1214,2831,2910,3235,1407,1953,737,705,322,260,108,319,1080,2193,2578,712
2/3/2012,2012,3,2,10,6,19,2978,501,707,2008,2165,2756,531,1654,311,320,213,275,107,160,1068,1618,1731,478
2/3/2012,2012,3,2,10,6,20,2405,372,489,1466,1569,2595,268,1442,203,139,149,230,94,82,237,1201,1477,357
2/3/2012,2012,3,2,10,6,21,2418,352,341,889,798,2452,212,1279,159,125,178,205,104,34,1083,1308,1273,372
2/3/2012,2012,3,2,10,6,22,2194,339,325,592,507,2061,128,981,170,93,125,204,54,38,1047,1794,1428,389
2/3/2012,2012,3,2,10,6,23,2326,283,266,489,410,1642,128,860,155,70,83,160,75,49,327,1125,1358,339
3/3/2012,2012,3,3,20,7,0,1610,149,174,338,238,1056,57,460,62,36,57,64,20,20,82,762,869,292
3/3/2012,2012,3,3,20,7,1,578,51,79,199,100,586,25,292,23,15,36,32,5,8,19,353,424,146
3/3/2012,2012,3,3,20,7,2,378,29,37,130,65,314,19,236,26,13,17,24,12,6,6,146,235,107
3/3/2012,2012,3,3,20,7,3,267,25,50,87,49,240,15,117,24,6,31,9,1,5,22,149,183,69
3/3/2012,2012,3,3,20,7,4,164,29,27,62,31,104,12,37,2,6,8,12,10,2,11,89,129,70
3/3/2012,2012,3,3,20,7,5,172,8,21,51,29,58,15,32,12,10,5,7,12,7,15,84,121,64
3/3/2012,2012,3,3,20,7,6,164,40,44,61,24,71,14,27,28,59,28,8,8,23,28,96,149,65
3/3/2012,2012,3,3,20,7,7,268,65,117,99,64,136,31,54,15,70,36,28,15,41,90,118,233,99
3/3/2012,2012,3,3,20,7,8,596,117,267,269,189,209,36,75,91,89,52,61,64,67,109,275,330,123
3/3/2012,2012,3,3,20,7,9,1118,219,477,701,535,413,70,227,118,101,79,75,36,103,142,481,515,188
3/3/2012,2012,3,3,20,7,10,1818,243,963,1492,1213,735,89,476,125,115,114,116,68,66,179,924,797,265
3/3/2012,2012,3,3,20,7,11,2529,235,1266,2330,1732,1127,80,686,189,87,118,74,56,102,147,1298,968,337
3/3/2012,2012,3,3,20,7,12,3097,312,1515,2649,2277,1789,104,1127,183,140,121,164,130,81,249,2077,1164,758
3/3/2012,2012,3,3,20,7,13,3456,350,1659,3348,2462,1976,111,1375,176,71,91,94,64,108,304,2009,1375,862
3/3/2012,2012,3,3,20,7,14,3324,286,1529,3259,2512,1958,84,1489,171,104,109,143,92,89,249,1655,1363,792
3/3/2012,2012,3,3,20,7,15,3382,376,1471,3480,2561,1865,57,1578,200,80,78,85,64,84,148,2073,1400,762
3/3/2012,2012,3,3,20,7,16,3300,395,1207,3412,2257,2000,81,1696,136,81,91,115,95,71,274,2337,1384,572
3/3/2012,2012,3,3,20,7,17,2737,503,806,2234,1838,1743,75,1516,163,68,130,136,44,74,147,1363,1294,601
3/3/2012,2012,3,3,20,7,18,2300,490,530,1175,1290,1742,52,1171,148,104,218,278,87,95,96,1354,1092,567
3/3/2012,2012,3,3,20,7,19,1883,518,371,741,847,1713,61,951,148,65,126,313,82,54,331,1129,976,514
3/3/2012,2012,3,3,20,7,20,1687,422,281,507,546,1806,62,863,96,48,92,208,124,30,136,883,870,378
3/3/2012,2012,3,3,20,7,21,1675,276,232,398,375,1774,70,901,93,37,91,153,74,33,39,776,810,304
3/3/2012,2012,3,3,20,7,22,1405,227,235,411,482,1415,48,656,129,63,242,381,54,35,19,1193,828,255
3/3/2012,2012,3,3,20,7,23,1210,244,257,434,361,1255,53,484,122,22,97,221,96,12,42,773,806,366
4/3/2012,2012,3,4,20,1,0,1119,121,163,307,224,679,30,329,66,36,80,117,27,4,24,510,646,259
4/3/2012,2012,3,4,20,1,1,708,114,126,335,157,475,31,208,35,15,25,28,13,5,10,310,343,120
4/3/2012,2012,3,4,20,1,2,430,50,83,163,188,301,26,191,33,14,14,38,7,5,19,192,239,100
4/3/2012,2012,3,4,20,1,3,366,37,75,188,125,265,12,102,29,10,25,17,12,0,4,149,199,75
4/3/2012,2012,3,4,20,1,4,183,33,25,74,41,107,12,38,17,2,1,11,10,4,2,62,85,36
4/3/2012,2012,3,4,20,1,5,125,9,25,144,46,55,5,36,8,4,10,13,12,1,9,58,84,48
4/3/2012,2012,3,4,20,1,6,105,22,49,45,33,66,6,37,12,12,6,6,4,3,23,48,86,38
4/3/2012,2012,3,4,20,1,7,159,31,82,47,53,64,10,65,23,21,15,15,11,19,29,92,188,95
4/3/2012,2012,3,4,20,1,8,414,99,170,152,111,196,28,91,55,42,42,52,112,61,134,162,288,140
4/3/2012,2012,3,4,20,1,9,771,142,373,449,345,337,42,180,88,81,41,107,157,91,220,379,474,198
4/3/2012,2012,3,4,20,1,10,1491,240,790,1025,954,681,73,490,119,74,77,234,670,143,462,894,783,304
4/3/2012,2012,3,4,20,1,11,2154,256,1090,1811,1501,1223,72,686,163,80,82,421,1338,160,616,1405,1207,546
4/3/2012,2012,3,4,20,1,12,2495,280,1290,2312,2057,1747,72,1136,186,112,98,559,1812,209,978,2031,1431,1015
4/3/2012,2012,3,4,20,1,13,3257,318,1413,2852,2628,2316,86,1540,161,107,122,682,1783,212,1279,2533,1867,1504
4/3/2012,2012,3,4,20,1,14,3459,351,1195,3197,2909,2226,97,1741,189,85,126,815,1811,218,1366,2499,2001,1570
4/3/2012,2012,3,4,20,1,15,3239,254,1222,3099,2887,2498,68,1716,149,108,154,882,1563,242,1029,2343,2000,1400
4/3/2012,2012,3,4,20,1,16,3070,274,969,2689,2535,2215,61,1680,141,144,174,709,1089,215,668,2469,1972,1102
4/3/2012,2012,3,4,20,1,17,2636,263,631,1763,1889,2092,63,1569,153,83,139,813,478,207,561,1807,1695,899
4/3/2012,2012,3,4,20,1,18,1904,227,313,884,1026,1841,93,1068,89,103,63,384,228,127,523,1257,1356,562
4/3/2012,2012,3,4,20,1,19,1402,207,217,468,681,1398,65,991,88,63,113,429,236,59,177,972,971,384
4/3/2012,2012,3,4,20,1,20,1231,139,191,379,452,1439,57,823,74,74,226,554,171,86,73,836,863,320
